Position,Track Name,Artist,Streams,date,region,spotify_id
1,I Love It (& Lil Pump),Kanye West,11068614,2018-09-07--2018-09-14,us,4S8d14HvHb70ImctNgVzQQ
2,SICKO MODE,Travis Scott,10454886,2018-09-07--2018-09-14,us,2xLMifQCjDGFmkHkpNLD9h
3,Lucky You (feat. Joyner Lucas),Eminem,10393871,2018-09-07--2018-09-14,us,60SdxE8apGAxMiRrpbmLY0
4,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,9539832,2018-09-07--2018-09-14,us,2E124GmJRnBJuXbTb4cPUB
5,Lucid Dreams,Juice WRLD,9356078,2018-09-07--2018-09-14,us,0s3nnoMeVWz3989MkNQiRf
6,In My Feelings,Drake,7978930,2018-09-07--2018-09-14,us,2G7V7zsVDxg1yRsu7Ew9RJ
7,Nonstop,Drake,7211870,2018-09-07--2018-09-14,us,0TlLq3lA83rQOYtrqBqSct
8,SAD!,XXXTENTACION,6983175,2018-09-07--2018-09-14,us,3ee8Jmje8o58CHK66QrVC2
9,The Ringer,Eminem,6585647,2018-09-07--2018-09-14,us,2jt2WxXMCD4zjACthkJQVE
10,Self Care,Mac Miller,6502948,2018-09-07--2018-09-14,us,5bJ1DrEM4hNCafcDd1oxHx
11,Happier,Marshmello,6484136,2018-09-07--2018-09-14,us,2dpaYNEQHiRxtZbfNsse99
12,Moonlight,XXXTENTACION,6471939,2018-09-07--2018-09-14,us,0JP9xo3adEtGSdUEISiszL
13,Taste (feat. Offset),Tyga,6259188,2018-09-07--2018-09-14,us,5IaHrVsrferBYDm0bDyABy
14,Eastside (with Halsey & Khalid),benny blanco,6222682,2018-09-07--2018-09-14,us,0d2iYfpKoM0QCKvcLCkBao
15,Better Now,Post Malone,5770579,2018-09-07--2018-09-14,us,7dt6x5M1jzdTEt8oCbisTK
16,Yes Indeed,Lil Baby,5730121,2018-09-07--2018-09-14,us,6vN77lE9LK6HP2DewaN6HZ
17,Mo Bamba,Sheck Wes,5474774,2018-09-07--2018-09-14,us,3QybPutx0Tjk472bBKjNWn
18,I Like It,Cardi B,5232498,2018-09-07--2018-09-14,us,58q2HKrzhC3ozto2nDdN4z
19,STARGAZING,Travis Scott,5015008,2018-09-07--2018-09-14,us,7wBJfHzpfI3032CSD7CE2m
20,Not Alike (feat. Royce Da 5'9),Eminem,4968091,2018-09-07--2018-09-14,us,28FGV3ORH14MYORd7s5dlU
21,breathin,Ariana Grande,4960557,2018-09-07--2018-09-14,us,4OafepJy2teCjYJbvFE60J
22,Fall,Eminem,4780041,2018-09-07--2018-09-14,us,58QhkbaAkLFnn7JwAnAato
23,No Brainer,DJ Khaled,4692629,2018-09-07--2018-09-14,us,5WvAo7DNuPRmk4APhdPzi8
24,Girls Like You (feat. Cardi B),Maroon 5,4674114,2018-09-07--2018-09-14,us,7fa9MBXhVfQ8P8Df9OEbD8
25,Promises (with Sam Smith),Calvin Harris,4607138,2018-09-07--2018-09-14,us,5N5k9nd479b1xpDZ4usjrg
26,Jocelyn Flores,XXXTENTACION,4557264,2018-09-07--2018-09-14,us,7m9OqQk4RVRkw9JJdeAw96
27,Electricity (with Dua Lipa),Silk City,4437206,2018-09-07--2018-09-14,us,5N4erncE7kuUccm7zEmwzk
28,God is a woman,Ariana Grande,4435064,2018-09-07--2018-09-14,us,5OCJzvD7sykQEKHH7qAC3C
29,Lean Wit Me,Juice WRLD,4362429,2018-09-07--2018-09-14,us,29tc0GbW0pTSBZSCZF3NWk
30,Natural,Imagine Dragons,4321554,2018-09-07--2018-09-14,us,4zIO3ilp5HvTeK3HJHxhMP
31,Greatest,Eminem,4285149,2018-09-07--2018-09-14,us,2XTquzYQAdT1Hk78bOUwsv
32,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4267267,2018-09-07--2018-09-14,us,0ZNrc4kNeQYD9koZ3KvCsy
33,All Girls Are The Same,Juice WRLD,4254127,2018-09-07--2018-09-14,us,0XySogm94T51XF5F2jumXm
34,Fuck Love (feat. Trippie Redd),XXXTENTACION,4215257,2018-09-07--2018-09-14,us,7AQim7LbvFVZJE3O8TYgf2
35,Be Alright,Dean Lewis,4093934,2018-09-07--2018-09-14,us,3EPXxR3ImUwfayaurPi3cm
36,Psycho (feat. Ty Dolla $ign),Post Malone,4010068,2018-09-07--2018-09-14,us,3swc6WTsr7rl9DqQKQA55C
37,Noticed,Lil Mosey,3985355,2018-09-07--2018-09-14,us,7d6XJZjnm7iWcKwYL9z5kC
38,Ladders,Mac Miller,3968985,2018-09-07--2018-09-14,us,39NDBdU5Xkm5pCFGa5kZtI
39,Youngblood,5 Seconds of Summer,3915676,2018-09-07--2018-09-14,us,2iUXsYOEPhVqEBwsqP70rE
40,God's Plan,Drake,3884677,2018-09-07--2018-09-14,us,6DCZcSspjsKoFjzjrWoCdn
41,Kamikaze,Eminem,3842415,2018-09-07--2018-09-14,us,2gsNpSn7VvvJuSrIDfRoYy
42,changes,XXXTENTACION,3801718,2018-09-07--2018-09-14,us,7AFASza1mXqntmGtbxXprO
43,Wasted (feat. Lil Uzi Vert),Juice WRLD,3801570,2018-09-07--2018-09-14,us,3obgSF06ki98lYNLNq5vCB
44,Nice For What,Drake,3683992,2018-09-07--2018-09-14,us,3CA9pLiwRIGtUBiMjbZmRw
45,Come Back to Earth,Mac Miller,3623061,2018-09-07--2018-09-14,us,01z2fBGB8Hl3Jd3zXe4IXR
46,Hurt Feelings,Mac Miller,3612175,2018-09-07--2018-09-14,us,5p7GiBZNL1afJJDUrOA6C8
47,YOSEMITE,Travis Scott,3528385,2018-09-07--2018-09-14,us,7lAK3oHbfEnvUQWosrMMpR
48,WORKIN ME,Quavo,3480737,2018-09-07--2018-09-14,us,33tNYw9oMtSkGe27NpgS64
49,rockstar (feat. 21 Savage),Post Malone,3443065,2018-09-07--2018-09-14,us,0e7ipj03S05BNilyu5bRzt
50,Beautiful (feat. Camila Cabello),Bazzi,3385368,2018-09-07--2018-09-14,us,4VUwkH455At9kENOfzTqmF
51,Taking A Walk,Trippie Redd,3372478,2018-09-07--2018-09-14,us,4mHgYpuGHu99Mw69E83CP2
52,Drew Barrymore,Bryce Vine,3343121,2018-09-07--2018-09-14,us,0OgGn1ofaj55l2PcihQQGV
53,Thunderclouds,Sia,3215699,2018-09-07--2018-09-14,us,5a8RPWgKSmcGBGcffmIrUi
54,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,3206592,2018-09-07--2018-09-14,us,7ycWLEP1GsNjVvcjawXz3z
55,Look Alive (feat. Drake),BlocBoy JB,3186485,2018-09-07--2018-09-14,us,4qKcDkK6siZ7Jp1Jb4m0aL
56,I Fall Apart,Post Malone,3096446,2018-09-07--2018-09-14,us,75ZvA4QfFiZvzhj2xkaWAh
57,Body (feat. brando),Loud Luxury,3008126,2018-09-07--2018-09-14,us,7K7MUBCnzgBAvMVW2RTWNs
58,no tears left to cry,Ariana Grande,2991131,2018-09-07--2018-09-14,us,2qT1uLXPVPzGgFOx4jtEuo
