id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0aLHvSnOVvaAFk0o8UL4og,0.618,0.841,1,-3.8139999999999996,1,0.0325,0.00091,0.00016299999999999998,0.0583,0.831,123.01799999999999,180640,4
2WueTxY1xyhYzGfDEq2eDX,0.6970000000000001,0.778,1,-4.515,1,0.326,0.16899999999999998,0.132,0.0814,0.47100000000000003,158.046,124080,4
0ZfEeIu7CNHQhbCTiVv3cx,0.396,0.778,7,-3.99,0,0.0718,0.00246,0.0029100000000000003,0.0952,0.36200000000000004,166.84599999999998,188440,4
2BkyYZmU4JuWW2sYi9EzpC,0.613,0.7390000000000001,10,-6.478,1,0.0311,0.526,0.0,0.149,0.7120000000000001,104.96600000000001,211453,4
7kVNc3Mpzc9iOjqnai93E3,0.805,0.561,1,-6.546,1,0.409,0.168,0.0,0.12300000000000001,0.569,162.047,165556,4
4Ug1vwXoxWVZkarqB4XPfh,0.879,0.875,11,-5.297999999999999,1,0.0685,0.0741,0.000265,0.0926,0.784,130.011,214944,4
7KbF6AdprOXEEHlsq11Z6d,0.777,0.7120000000000001,10,-4.84,1,0.27699999999999997,0.217,0.0,0.091,0.68,95.69200000000001,175733,4
0gXKgbci6u0d1wNo2djHEu,0.62,0.364,7,-8.394,0,0.557,0.588,0.0,0.516,0.261,79.28399999999999,249440,4
0ClnfM4PI0wjlCVTJc9lP7,0.752,0.65,4,-6.194,1,0.0334,0.264,1.38e-06,0.313,0.904,141.16,177000,4
294r8rdOqr0Nv1vuV5u8Qv,0.784,0.391,3,-10.628,1,0.215,0.804,0.0,0.18,0.711,90.789,116715,4
0mknlibAARXVk3d8pafTUg,0.573,0.385,7,-5.379,0,0.0686,0.746,0.0,0.107,0.345,131.804,230853,4
2sNZf0qzqXfHMrSomiNsOz,0.7829999999999999,0.86,11,-5.596,0,0.0527,0.021,6.330000000000001e-05,0.026000000000000002,0.8759999999999999,125.008,219693,4
5hc71nKsUgtwQ3z52KEKQk,0.61,0.7879999999999999,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.47200000000000003,101.045,347520,4
6UryEVkqPDLliZOG4UmFi9,0.815,0.284,0,-7.057,1,0.0427,0.867,0.00105,0.0987,0.449,73.785,98347,4
2T4SAwloHxRAtpD2hgykdA,0.342,0.573,6,-8.397,1,0.258,0.134,0.0,0.22899999999999998,0.271,89.67399999999999,205213,4
35rKES1xTTAg5ruZvM81JK,0.7240000000000001,0.55,11,-9.468,0,0.0577,0.00131,0.129,0.36,0.457,125.963,206899,4
3tMnc9ghfuiXTU6WMO0iby,0.9279999999999999,0.62,8,-5.24,0,0.10300000000000001,0.20800000000000002,0.0008230000000000001,0.0609,0.863,112.986,188598,4
23zJcKwLf5CeaKVbFhrWgF,0.63,0.409,0,-8.83,0,0.0903,0.11900000000000001,0.629,0.121,0.332,122.848,143773,4
5GBRnEgg3xzJ3aQA6klSP0,0.6579999999999999,0.8140000000000001,4,-5.121,0,0.11599999999999999,0.157,3.48e-05,0.0507,0.221,90.03299999999999,219067,4
0HvWmBkbmbm07pMvjahFbv,0.718,0.8,9,-5.715,1,0.0587,0.00588,1.63e-05,0.337,0.266,117.98,205928,4
2vATDAftePyHSrY4rP5nmr,0.631,0.9229999999999999,11,-3.0,0,0.396,0.36,0.0,0.349,0.544,94.20200000000001,206000,4
6RjW45KHJ6kgI2xQ1aFa52,0.667,0.619,2,-4.933,1,0.151,0.126,0.0,0.10099999999999999,0.42700000000000005,169.865,198907,4
5L0X8T8HNaUAIYw1oofg1M,0.574,0.7879999999999999,10,-6.778,1,0.0638,0.0156,0.0,0.37,0.34,83.94,205803,4
1otG6j1WHNvl9WgXLWkHTo,0.7020000000000001,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4
6PFyGdWw0qnstR8KJAWrrr,0.6729999999999999,0.61,1,-4.73,0,0.0356,0.00662,0.0,0.0572,0.34299999999999997,122.06299999999999,209200,4
3ESSGgWzRf1xvP7G5hHMhB,0.748,0.733,11,-4.421,0,0.07200000000000001,0.0062,0.0,0.32899999999999996,0.29100000000000004,93.01899999999999,312240,4
1xADYlM5rjnbJvAW2tc0qF,0.52,0.35,9,-10.713,0,0.052000000000000005,0.894,0.000778,0.0895,0.39,79.64699999999999,173267,4
3gOlVEwSmsrqKt590wbWt3,0.745,0.599,3,-6.428,0,0.0459,0.40700000000000003,0.0,0.162,0.28300000000000003,141.985,202964,4
4iXW8iEv7QzeWn71OU4NU2,0.642,0.746,9,-7.324,1,0.0342,0.0064,0.0411,0.10300000000000001,0.522,120.756,189013,4
7fftC401ke4BzA3ucPIXES,0.531,0.287,9,-7.091,1,0.0364,0.915,0.0,0.11800000000000001,0.491,135.55,209482,4
5naYe7rLMZcLfO1DKg48MK,0.5670000000000001,0.765,1,-4.107,0,0.10800000000000001,0.317,0.0,0.14,0.541,121.92399999999999,169467,4
56qdpEICxwSAGhCcqniHiS,0.51,0.606,1,-6.803999999999999,0,0.0486,0.0009220000000000001,0.0,0.109,0.0715,159.968,203895,4
61HVbcNeRACZpyvHrc3AnD,0.228,0.204,5,-12.319,1,0.0387,0.9259999999999999,1.1e-05,0.092,0.195,83.37200000000001,125439,4
3LHcAmB9JJ1pVsfTLersFD,0.599,0.818,11,-4.915,0,0.0416,0.0068,0.00031099999999999997,0.0445,0.6509999999999999,128.941,273728,4
5eWxOg6tDkf5tJagNuVSbo,0.534,0.919,4,-4.0,1,0.052000000000000005,0.0327,0.000592,0.33,0.5539999999999999,83.95,199787,4
5Xq7KPZSONkhHx6DFTAbTz,0.62,0.64,4,-5.285,1,0.0334,0.0488,0.0,0.0647,0.445,90.03200000000001,172787,4
0dXNQ8dckG4eYfEtq9zcva,0.54,0.8029999999999999,8,-5.194,1,0.0358,0.00403,0.0,0.33,0.501,144.997,197640,4
2XwZVmVemHI3rZX7Y0TCb7,0.541,0.479,1,-11.915999999999999,1,0.0635,0.27899999999999997,0.000754,0.146,0.868,147.391,253133,4
0USZx50eApN045zIIyjePN,0.675,0.44,9,-9.298,0,0.349,0.545,6.24e-06,0.19699999999999998,0.0338,109.823,264200,4
10unIjOu5Jurco3SDbV4HZ,0.621,0.524,5,-7.056,1,0.0248,0.168,0.0,0.0925,0.434,97.456,193598,3
1208GstXdoAE2jD3fbIpcX,0.366,0.542,6,-5.452999999999999,1,0.375,0.244,0.0,0.0605,0.332,63.893,230822,4
1ucn3B55IQQcQ8PPHcFtDS,0.43700000000000006,0.688,5,-5.315,1,0.0364,0.0656,0.0,0.156,0.193,130.114,238558,4
2BYXQtJVwUU3RXu5IXyYqB,0.45299999999999996,0.66,4,-6.305,0,0.0643,0.6609999999999999,9.34e-06,0.0921,0.35700000000000004,81.268,205653,4
5NJGDar4uYdUTd0huY05JI,0.6629999999999999,0.7609999999999999,11,-4.56,0,0.0581,0.24100000000000002,1.39e-06,0.11900000000000001,0.74,177.947,210840,4
0bMbDctzMmTyK2j74j3nF3,0.67,0.6679999999999999,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.03299999999999,179053,4
5zCunX8URvLoBHlg1Fnjv6,0.418,0.248,3,-9.997,1,0.0451,0.9540000000000001,4.21e-06,0.10800000000000001,0.298,130.953,243007,4
59aZ0ioyVrmtdut1KfU5aT,0.825,0.496,1,-8.562000000000001,1,0.0503,0.00817,0.0005110000000000001,0.0827,0.185,127.98700000000001,234375,4
0m3Ze0cy8qBHSsV2exAfCw,0.588,0.5539999999999999,8,-8.406,1,0.0545,0.21600000000000003,0.11800000000000001,0.0619,0.496,146.13299999999998,238333,4
3xEozpt8pAptvpH69iJhOw,0.434,0.314,10,-7.78,0,0.0577,0.7859999999999999,0.0,0.163,0.34700000000000003,175.077,178160,4
0SZRWZnSbvPmTVWcOjoQoo,0.618,0.721,1,-6.796,1,0.0403,0.12,8.98e-06,0.10800000000000001,0.425,144.09799999999998,158333,4
2qJkesdHu9sMMVFgkRkqhQ,0.44299999999999995,0.8440000000000001,11,-5.414,0,0.0425,0.00251,0.0,0.085,0.452,76.001,202213,4
6k71NlTnn41Vk7RJX7CSbY,0.607,0.616,10,-6.925,1,0.0581,0.0288,0.0439,0.138,0.698,184.111,186120,4
3tld41qK6W6xBMea9WIhLC,0.7290000000000001,0.982,1,-3.028,1,0.0634,0.0274,0.106,0.278,0.40399999999999997,126.024,189000,4
1fBl642IhJOE5U319Gy2Go,0.48200000000000004,0.833,5,-5.611000000000001,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
0YZEYxd1oiqZRFhnnmTKKi,0.39,0.9390000000000001,4,-3.8280000000000003,0,0.0787,5.08e-05,0.0,0.0968,0.495,161.997,205394,4
6sLohu3lQbmMhYVnb6OTvw,0.45299999999999996,0.894,0,-3.4930000000000003,0,0.0544,0.0168,0.0,0.15,0.297,75.063,208052,4
2Fn4gZI3MAeWTiv7cSVxZQ,0.685,0.742,8,-5.409,1,0.0471,0.22,0.0,0.185,0.618,115.008,213511,4
2yWtLaPCOUDyi7f1lOXCn5,0.475,0.9359999999999999,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,209587,4
0ZlVUhjO8c0bOx1D2Btznf,0.4,0.835,7,-7.728,1,0.0549,0.000117,0.846,0.373,0.16699999999999998,172.007,340280,4
1Xi84slp6FryDSCbzq4UCD,0.45,0.32899999999999996,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
14J8TjBnTLIH1GVa3XzuiE,0.49200000000000005,0.532,7,-5.569,0,0.204,0.728,0.0,0.149,0.51,120.12100000000001,162000,3
7L9ALJWkzhhG6y9iFbQvbo,0.8440000000000001,0.7020000000000001,1,-6.224,1,0.527,0.265,0.0,0.321,0.273,152.955,181999,4
6Oq4fiDzKaFMU89dTvM24u,0.6779999999999999,0.516,1,-4.601,1,0.444,0.0523,0.0,0.13,0.11,133.939,245920,4
7j43FohbLVulScL7S9sQZk,0.6809999999999999,0.912,0,-4.159,1,0.0912,0.0007570000000000001,0.0013599999999999999,0.359,0.479,125.031,231603,4
7dQFpbs34ufIEU745DVclf,0.747,0.643,7,-6.9910000000000005,1,0.17800000000000002,0.0756,0.00894,0.355,0.5379999999999999,99.98100000000001,147626,4
69XN0XjxcMtUCrvOEd0KYd,0.6709999999999999,0.6459999999999999,7,-7.164,1,0.0816,0.0296,0.0,0.061,0.633,155.981,213280,4
37zdqI4r1gswIzczSBkRon,0.7290000000000001,0.726,5,-3.208,1,0.0422,0.223,0.0,0.10099999999999999,0.8759999999999999,92.025,217130,4
5eug6dDFWvTOiC4m5TUHuz,0.8190000000000001,0.479,6,-6.809,0,0.182,0.00499,0.0853,0.319,0.391,135.97799999999998,236471,4
21i0SMRb6uK63t73sYIZY5,0.632,0.768,0,-4.0889999999999995,1,0.0454,0.136,0.0,0.185,0.515,126.3,180040,4
2biNa12dMbHJrHVFRt8JyO,0.948,0.623,8,-5.725,0,0.168,0.00124,1.07e-06,0.0716,0.856,135.97899999999998,228186,4
7iKLFfnQULROZ7XRxG6ive,0.753,0.754,10,-6.285,0,0.0385,0.44299999999999995,0.0,0.106,0.853,127.992,201429,4
74EWanq1kPvPk8IHW4bp9Q,0.45399999999999996,0.7809999999999999,0,-5.082,1,0.057999999999999996,0.10800000000000001,0.00128,0.10300000000000001,0.456,178.045,229040,4
5LYDjmNKfaGT7bazlUYWqg,0.778,0.6579999999999999,1,-4.636,0,0.174,0.00281,0.486,0.0947,0.266,160.018,168012,4
44xQqtGgjixgB0gnomttKX,0.46299999999999997,0.562,6,-5.439,0,0.311,0.75,0.0,0.12,0.742,198.676,90653,3
2HDqP1ao45k1t7mPe7lo4C,0.73,0.922,5,-3.3819999999999997,0,0.0611,0.0936,0.0,0.165,0.511,122.927,220480,4
2ky7vgodn1YedpeS00lUqt,0.903,0.6679999999999999,8,-7.881,1,0.24,0.0033299999999999996,0.0,0.111,0.532,145.058,166333,4
39SRIyJKTLgG8G4fvdH5YL,0.5710000000000001,0.6559999999999999,1,-3.154,0,0.14,0.0128,0.0,0.262,0.6990000000000001,79.868,172500,4
1CGQTaQVVfA0CNae8IwPyC,0.7070000000000001,0.818,7,-4.891,1,0.0391,0.0702,1.6100000000000002e-05,0.105,0.489,150.084,186556,4
5Il6Oe7lr5XM7A0cWbVQtr,0.847,0.579,1,-5.314,1,0.0719,0.0268,0.0545,0.102,0.569,137.998,267107,4
6UFivO2zqqPFPoQYsEMuCc,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.99600000000001,260520,4
7mWFF4gPADjTQjC97CgFVt,0.785,0.5720000000000001,2,-7.504,1,0.12300000000000001,0.0598,0.0,0.218,0.49,100.016,235284,4
4Clmg1g8n2yBYG13Z1oSdG,0.745,0.972,7,-3.5060000000000002,1,0.0774,0.00903,0.465,0.297,0.556,128.031,189818,4
3a24rUSZ1Ui3xmPNnqpor8,0.6679999999999999,0.5379999999999999,9,-8.758,1,0.0354,0.287,7.64e-05,0.0807,0.146,109.88600000000001,105013,4
29d5xMci2Vg4048REX6UEE,0.805,0.867,7,-5.492999999999999,1,0.268,0.0826,9.46e-06,0.0578,0.659,150.289,241053,4
