Position,Track Name,Artist,Streams,date,region,spotify_id
1,ROXANNE,Arizona Zervas,9632320,2019-12-06--2019-12-13,us,696DnlkuDOXcMAnKlTgXXK
2,Bandit (with YoungBoy Never Broke Again),Juice WRLD,9162711,2019-12-06--2019-12-13,us,6Gg1gjgKi2AK4e0qzsR7sd
3,Lucid Dreams,Juice WRLD,8927117,2019-12-06--2019-12-13,us,285pBltuF7vW8TeWk8hdRR
4,Circles,Post Malone,8606567,2019-12-06--2019-12-13,us,21jGcNKet2qwijlDFuPiPb
5,Adore You,Harry Styles,7505976,2019-12-06--2019-12-13,us,1M4qEo4HE3PRaCOM7EXNJq
6,Heartless,The Weeknd,7015073,2019-12-06--2019-12-13,us,57vxBYXtHMk6H1aD29V7PU
7,Falling,Trevor Daniel,6963013,2019-12-06--2019-12-13,us,4TnjEaWOeW0eKTKIEvJyCa
8,Robbery,Juice WRLD,6458046,2019-12-06--2019-12-13,us,6Hj9jySrnFppAI0sEMCZpJ
9,BOP,DaBaby,6435503,2019-12-06--2019-12-13,us,6Ozh9Ok6h4Oi1wUSLtBseN
10,HIGHEST IN THE ROOM,Travis Scott,6283155,2019-12-06--2019-12-13,us,3eekarcy7kvN4yt5ZFzltW
11,Blinding Lights,The Weeknd,6219624,2019-12-06--2019-12-13,us,0sf12qNH5qcw8qpgymFOqD
12,everything i wanted,Billie Eilish,6153403,2019-12-06--2019-12-13,us,3ZCTVFBt2Brf31RLEnCkWJ
13,All I Want for Christmas Is You,Mariah Carey,6118317,2019-12-06--2019-12-13,us,0bYg9bo50gSsH3LtXe2SQn
14,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5774574,2019-12-06--2019-12-13,us,0RiRZpuVRbi7oqRdSMwhQY
15,Dance Monkey,Tones And I,5621361,2019-12-06--2019-12-13,us,1rgnBhdG2JDFTbYkYRZAku
16,Someone You Loved,Lewis Capaldi,5396518,2019-12-06--2019-12-13,us,7qEHsqek33rTcFNT9PFqLf
17,All Girls Are The Same,Juice WRLD,5254512,2019-12-06--2019-12-13,us,4VXIryQMWpIdGgYR4TrjT1
18,Rockin' Around The Christmas Tree,Brenda Lee,5224481,2019-12-06--2019-12-13,us,2EjXfH91m7f8HiJN1yQg97
19,Legends,Juice WRLD,5220655,2019-12-06--2019-12-13,us,1Knctxx9vGZxpZfF66BIEa
20,Jingle Bell Rock,Bobby Helms,4889366,2019-12-06--2019-12-13,us,3hBXvHLlTHvnbwrPbeoyAj
21,hot girl bummer,blackbear,4841176,2019-12-06--2019-12-13,us,7aiClxsDWFRQ0Kzk5KI5ku
22,bad guy,Billie Eilish,4621086,2019-12-06--2019-12-13,us,2Fxmhks0bxGSBdJ92vM42m
23,Santa Tell Me,Ariana Grande,4533542,2019-12-06--2019-12-13,us,0lizgQ7Qw35od7CYaoMBZb
24,Watermelon Sugar,Harry Styles,4524384,2019-12-06--2019-12-13,us,1e9oZCCiX42nJl0AcqriVo
25,It's the Most Wonderful Time of the Year,Andy Williams,4459510,2019-12-06--2019-12-13,us,5hslUAKq9I9CG2bAulFkHN
26,Hate Me (with Juice WRLD),Ellie Goulding,4356544,2019-12-06--2019-12-13,us,6kls8cSlUyHW2BUOkDJIZE
27,Truth Hurts,Lizzo,4349902,2019-12-06--2019-12-13,us,5qmq61DAAOUaW8AUo8xKhh
28,Ballin' (with Roddy Ricch),Mustard,4326399,2019-12-06--2019-12-13,us,3QzAOrNlsabgbMwlZt7TAY
29,Ransom,Lil Tecca,4304550,2019-12-06--2019-12-13,us,1lOe9qE0vR9zwWQAOk6CoO
30,Memories,Maroon 5,4287463,2019-12-06--2019-12-13,us,2b8fOow8UzyDFAE27YhOZM
31,Last Christmas,Wham!,4228453,2019-12-06--2019-12-13,us,2FRnf9qhLbvw8fu4IBXx78
32,My Oh My (feat. DaBaby),Camila Cabello,4100690,2019-12-06--2019-12-13,us,3yOlyBJuViE2YSGn3nVE1K
33,Lose You To Love Me,Selena Gomez,4085290,2019-12-06--2019-12-13,us,1HfMVBKM75vxSfsQ5VefZ5
34,Lean Wit Me,Juice WRLD,4073285,2019-12-06--2019-12-13,us,3oDkdAySo1VQQG0ptV7uwa
35,Señorita,Shawn Mendes,4052766,2019-12-06--2019-12-13,us,6v3KW9xbzN5yKLt9YKDYA2
36,Armed And Dangerous,Juice WRLD,4036356,2019-12-06--2019-12-13,us,5wujBwqG7INdStqGd4tRMX
37,223's (feat. 9lokknine),YNW Melly,4006259,2019-12-06--2019-12-13,us,29ZXwWOOLz9t5fa3eT3i7T
38,Suge,DaBaby,3955929,2019-12-06--2019-12-13,us,2gwkD6igEhQbDQegRCcdoB
39,Don't Start Now,Dua Lipa,3903782,2019-12-06--2019-12-13,us,6WrI0LAC5M1Rw2MnX2ZvEg
40,No Guidance (feat. Drake),Chris Brown,3883391,2019-12-06--2019-12-13,us,6XHVuErjQ4XNm6nDPVCxVX
41,Woah,Lil Baby,3872029,2019-12-06--2019-12-13,us,598yNsG1JFrGd4n2kMoz7F
42,Goodbyes (Feat. Young Thug),Post Malone,3820903,2019-12-06--2019-12-13,us,6vBdBCoOhKHiYDDOcorfNo
43,It's Beginning to Look a Lot like Christmas,Michael Bublé,3746471,2019-12-06--2019-12-13,us,0lLdorYw7lVrJydTINhWdI
44,The Christmas Song (Merry Christmas To You),Nat King Cole,3711541,2019-12-06--2019-12-13,us,4PS1e8f2LvuTFgUs1Cn3ON
45,A Holly Jolly Christmas - Single Version,Burl Ives,3656690,2019-12-06--2019-12-13,us,65Q2mv3UlVi9eO70OpsmSe
46,Mistletoe,Justin Bieber,3648749,2019-12-06--2019-12-13,us,7xapw9Oy21WpfEcib2ErSA
47,Ransom (with Juice WRLD) - Remix,Lil Tecca,3644672,2019-12-06--2019-12-13,us,2WsuSYJNXGKXVYkHPnq2yp
48,Wow.,Post Malone,3631312,2019-12-06--2019-12-13,us,7xQAfvXzm3AkraOtGPWIZg
49,No Idea,Don Toliver,3587753,2019-12-06--2019-12-13,us,3VyjsVV24RmBIbWJAeUJNu
50,VIBEZ,DaBaby,3587392,2019-12-06--2019-12-13,us,0fySG6A6qLE8IvDpayb5bM
51,Money In The Grave (Drake ft. Rick Ross),Drake,3584316,2019-12-06--2019-12-13,us,5ry2OE6R2zPQFDO85XkgRb
52,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,3565856,2019-12-06--2019-12-13,us,6ztvsy3C6hPjVg9j4x1XKJ
