,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
613,0.934,0.642,2,-6.489,1,0.117,0.037,0.0,0.0754,0.748,108.027,audio_features,10dVVfHlZYjV4Qv9uNVgrA,spotify:track:10dVVfHlZYjV4Qv9uNVgrA,https://api.spotify.com/v1/tracks/10dVVfHlZYjV4Qv9uNVgrA,https://api.spotify.com/v1/audio-analysis/10dVVfHlZYjV4Qv9uNVgrA,207764,4
614,0.772,0.659,2,-5.388,1,0.283,0.213,0.0,0.317,0.815,143.716,audio_features,6uIpf2e5PrB0ZMufi0AWpL,spotify:track:6uIpf2e5PrB0ZMufi0AWpL,https://api.spotify.com/v1/tracks/6uIpf2e5PrB0ZMufi0AWpL,https://api.spotify.com/v1/audio-analysis/6uIpf2e5PrB0ZMufi0AWpL,133213,4
615,0.883,0.836,10,-6.228,0,0.328,0.136,0.0,0.431,0.942,147.961,audio_features,4PgdRgtF4bIxWJdFhuoEEU,spotify:track:4PgdRgtF4bIxWJdFhuoEEU,https://api.spotify.com/v1/tracks/4PgdRgtF4bIxWJdFhuoEEU,https://api.spotify.com/v1/audio-analysis/4PgdRgtF4bIxWJdFhuoEEU,71347,4
616,0.74,0.835,10,-3.425,0,0.0839,0.0139,0.0,0.857,0.535,123.024,audio_features,5WrEilrRI5cIW0DxMvQYPZ,spotify:track:5WrEilrRI5cIW0DxMvQYPZ,https://api.spotify.com/v1/tracks/5WrEilrRI5cIW0DxMvQYPZ,https://api.spotify.com/v1/audio-analysis/5WrEilrRI5cIW0DxMvQYPZ,251293,4
617,0.555,0.923,6,-4.748,0,0.161,0.197,0.0,0.0778,0.363,118.007,audio_features,6Tt1P5CLUrl59oSOTVxON0,spotify:track:6Tt1P5CLUrl59oSOTVxON0,https://api.spotify.com/v1/tracks/6Tt1P5CLUrl59oSOTVxON0,https://api.spotify.com/v1/audio-analysis/6Tt1P5CLUrl59oSOTVxON0,192681,4
618,0.808,0.749,2,-6.483,1,0.0432,0.000129,0.102,0.0459,0.923,124.999,audio_features,2owws8NRqfPUdIn3Uag7Yp,spotify:track:2owws8NRqfPUdIn3Uag7Yp,https://api.spotify.com/v1/tracks/2owws8NRqfPUdIn3Uag7Yp,https://api.spotify.com/v1/audio-analysis/2owws8NRqfPUdIn3Uag7Yp,135219,4
619,0.754,0.506,9,-5.392,0,0.0929,0.326,0.0,0.0716,0.587,118.99,audio_features,5ovKXoPXsaCydETxiqbt80,spotify:track:5ovKXoPXsaCydETxiqbt80,https://api.spotify.com/v1/tracks/5ovKXoPXsaCydETxiqbt80,https://api.spotify.com/v1/audio-analysis/5ovKXoPXsaCydETxiqbt80,234520,4
620,0.712,0.664,11,-8.026,1,0.0345,0.0416,0.000104,0.0668,0.781,122.014,audio_features,1CRy08G60mS5jvhB27xMpS,spotify:track:1CRy08G60mS5jvhB27xMpS,https://api.spotify.com/v1/tracks/1CRy08G60mS5jvhB27xMpS,https://api.spotify.com/v1/audio-analysis/1CRy08G60mS5jvhB27xMpS,204514,4
621,0.369,0.996,10,-1.531,0,0.0931,3.83e-05,0.14,0.249,0.209,98.162,audio_features,3k6L0H08zSY5yRDgqI8fqx,spotify:track:3k6L0H08zSY5yRDgqI8fqx,https://api.spotify.com/v1/tracks/3k6L0H08zSY5yRDgqI8fqx,https://api.spotify.com/v1/audio-analysis/3k6L0H08zSY5yRDgqI8fqx,231853,4
622,0.778,0.748,8,-6.298,1,0.0517,0.0215,0.0,0.047,0.635,105.994,audio_features,73qVXOZcUW1spgZex0Lh8N,spotify:track:73qVXOZcUW1spgZex0Lh8N,https://api.spotify.com/v1/tracks/73qVXOZcUW1spgZex0Lh8N,https://api.spotify.com/v1/audio-analysis/73qVXOZcUW1spgZex0Lh8N,203693,4
