,spotify_id
0,5tz69p7tJuGPeMGwNTxYuV
1,762UXiwEHYY97VL45sAUPR
2,1OfLNb6dQ9dra1B58iT9Ex
3,0bAahSPEcS5raUHoOMtQR8
4,5wYLW17fs9JOolzR2W3AmM
5,3IJ6BBFLD2I2CH3hHFQj3O
6,7KzmG0xdCdlzpmNFa5CeXp
7,1gT5TGwbkkkUliNzHRIGi1
8,6WNekKZLNcUthzBAHugrON
9,5aZrmUOr1kL5U6cg0WZNyw
10,5bgwqaRSS3M8WHWruHgSL5
11,0WOvSEVpUGkNufX0w0M06F
12,3ZKRAzNAsiJrBGUM2BX9av
13,034KyQEk7IhbLtniVhBErj
14,4iTHnTc12swZdJ8RaaZyCm
15,2EcQY09CYgJ1qk6H1qZf8h
16,1tHXZO0grPpxIEfT3Gy7Sk
17,5teOR8KU4XNWY2WlVUDiIR
18,46pKXSkEQfqB0wEy5uxtcG
19,4gJzpOMYyOpVnbDXlT5aWL
20,73aLFMrJu7YX7IMaNlo8Ln
21,2BgEsaKNfHUdlh97KmvFyo
22,6OTg5BI36wjQw7MMUYWWux
23,1Pqv7l6vxjBxd5fx4bWchC
24,4bEcoz1OcfMgUbp2ft8ieQ
25,4bEcoz1OcfMgUbp2ft8ieQ
26,5o7ZDvfOry1MNhNLBOJulo
27,4EfQMKRCwyyL467J0TRk7A
28,6guNT7Sr4VgPNn1TIptb2F
29,5ByAIlEEnxYdvpnezg7HTX
30,2fkeWbM6iqTw7oGHTYm2lw
31,3M7VciIeyzdxqPyTjsIjL4
32,1CjXSN6vgWmniOCEycVFdN
33,1gXTYIRKQMAB3tpmlBskRQ
34,5LHq3Iz0QsYkbo0Bva1g35
35,0P0oXVckXBwxgzDtQ4jpuM
36,1sYOLx1Um3Og3OGr4IZoiu
37,2bDi4gQA2mITGJBsBBZC0s
38,4YaNLEPw3MrIgkGOkBrAh2
39,4bqIFmnVAsndYWuXxAwQet
40,4okM23gFpb1uDT9PTuMa8m
41,796IKFUy6xJKcJuV4loLrt
42,63bmZnBN1CiJ9sA4qTEe8y
43,0V2kwiKfeCH9ZPGWmrFJMg
44,4FRKGdgOh9G5sub5GiknfS
45,7oL6unIlRwr4oGKQklovEc
46,6PFyGdWw0qnstR8KJAWrrr
47,3ESSGgWzRf1xvP7G5hHMhB
48,7iHpX7m9owsqawBy008yvF
49,5KrEN8aGZnvS2UU6molPFs
50,5LVoGJTyG6fLJgoGkY2QAZ
51,6CkydK3NOAMScIhViRzXoB
52,1vHAmQNceQbCjx8mqh0gLg
53,4Q33nvKtjiXEnEWYbEEaAb
54,1iAiX3JKrz0ipZn4bp6htN
55,7DBgfE0IZOm7xMgzxTlUsq
56,3xPmq4xcdWtAPm4uUO0yUo
57,7aRjvseZHvPdaNGhUpSSHq
58,1D2Aldrksl9yWWCIPOeDzy
59,5QxqypupYWHrY8IkGCSObQ
60,1wWRtPIKD7ZNvtsrzLyTev
61,5SkRLpaGtvYPhw02vZhQQ9
62,6V6goat94tTJOWXXKZstNX
63,4Yxc55NX3tAXC2mHRAhtcW
64,5QTbSuoVxRZLch1FkUFaIz
65,3Ts91jE58Mo9kI0r0XTWI3
66,0dXNQ8dckG4eYfEtq9zcva
67,0dXNQ8dckG4eYfEtq9zcva
68,0dXNQ8dckG4eYfEtq9zcva
69,0dXNQ8dckG4eYfEtq9zcva
70,2mfahQ0EaaZWq4cFNg6A1o
71,0bNVNlZSHj3xSuMJWfzxuT
72,26haJjtanhamtf25RXH0MO
73,6KKu7Lfc3BFeL7Jsu7NGAI
74,0USZx50eApN045zIIyjePN
75,5X1yXxosU8i4nJIwDcvRFd
76,6R6mciwIw9dwOFBkzOFEaT
77,3zGpHUsSZ0xLRdDlbWbv5G
78,2dOYPQBdl4RIYEAjcL2Lor
79,6cUEmMGO2aOrjGtqiWGL61
80,3dskm5fAe8OkBtM9E0VVWx
81,7JetYZgWhIQG3vTQFHSPg3
82,7JetYZgWhIQG3vTQFHSPg3
83,7JetYZgWhIQG3vTQFHSPg3
84,3rEUUtuhcdBT4JqVENJ4Uj
85,7l5Syb4DmFpCHfUBFma9oi
86,6gBtackLW0UYKQkYVyKUS7
87,1LdS1ULS9e18oW3M2C1MUj
88,1LdS1ULS9e18oW3M2C1MUj
89,1by2yZWXqeTs4SRlBDsGov
90,4ELJ8UJSUmdoIpC2eeqLhh
91,3UjSOJ00E1eLMcayBm827Q
92,6zEgnpM0qYmHLDnh8WPejL
93,3EK4tGkSiO5xvvB5sM4tln
94,7MRyJPksH3G2cXHN8UKYzP
95,4CTgCROhytFCN0o8t4CYAO
96,6CS262UlW5nQqw9u0nAOsQ
97,6jfpkIQbqY5lraWp0Uo9aQ
98,312WNtMs3F28cUukaPY9bo
99,1vHs12IwoA5mCorMa9oGYs
100,7h9sdbDEBfkWSmO4mzGED6
101,7iQmjnDXYngWGsbjVnDc1U
102,7KB94bdMoHOlvSIZgdz0uT
103,5iU6aWGsSsc0Ln0Bf7GDyz
104,6p8eEdiZLKJH8tcjGZuNTK
105,2vOE9PLXx3MTPy5E0dxPor
106,2vOE9PLXx3MTPy5E0dxPor
107,3a7c8dRD2v3afhAPPnFOfp
108,2qJkesdHu9sMMVFgkRkqhQ
109,67kXYrMTQbS7MVbXyGyxHm
110,5PEbTSIjSFNty6OM5z7QsL
111,3oshLPqyQEEWBCktWl8jfS
112,0YZEYxd1oiqZRFhnnmTKKi
113,2QnE0PBovkTW5PpCgvgiu8
114,52Qu0no0NBho3zyRmjlsHn
115,2gPFK3pmM7zzws174NrjkG
116,3JvDAV3iV1KH0EmnfdU8kf
117,4V5WA7xTRzll2zTCgwr1ii
118,1wHZx0LgzFHyeIZkUydNXq
119,01dYgV6pAfSnNs7L6rQLOQ
120,2CsUpzZJZaOermNw9uhfi0
121,37f5k9CUx76qufhCFdniuv
122,2yWtLaPCOUDyi7f1lOXCn5
123,4M2idH8CQzXQAYlV0NACCt
124,67fRHOlaYQQFG67D9DkdnW
125,3pHkh7d0lzM2AldUtz2x37
126,5jJYJthaXUdkHKmiS6TuXe
127,5B7XIcS5T76NJZFOHX30Io
128,1SljDkv2QmkHnvvTqPAFYE
129,5DoSDqhMe4Zi0dLVayOewW
130,3WTUNLFtzWaDwfFfZJZ9d8
131,3vEmpJQC2p8h0U3OiBufQm
132,1XPTiehGAty7UCxdHTE5wi
133,3ARQkDRGXY7ZLz9HHjKOL0
134,6CjEJqxWB8AndIm0gGvieH
135,4cEfEKnJ34cV4qnqc57oOG
136,1Zyd6zQnC6XIIzmg3hP7Ot
137,3H3qBumaYj67PT3aMEBvAP
138,6l4TNbfPtNAOOlGIfceSaO
139,4gH4e5ENzVDg4N8fOp2vDP
140,6HUbzOMGiCvVZEablo0oNM
141,2vs5ubqg8QUbfyWZpMfvWe
142,77lGafvlU68CeHgB2pkHC9
143,0AcwF3jjxYWlD0dfK2RVZN
144,6ZHwpFj4FNNqyOnvNrQ8Nl
145,5cF0dROlMOK5uNZtivgu50
146,2INqEk4ko5AsGVLBsiKiQe
147,6j0wBBAP3hMe4t1Ymj7GIe
148,0uddb7tRm6KmMGzh3wFMcH
149,0B0y2FImat9j9MJTNRZWfW
150,42dJ29C11xlJTLkRVmKty1
151,5VMEBEss4zEgSUIK9KxhFU
152,2jQeX1fMZo5z82w3BviN5x
153,0sDqqcELNvGWI5u8mBxESD
154,7Hr2XoaGpIMKbNXCZDZ3le
155,7L7vZ846kZz5PRCC0DOUWx
156,4crny1jvLYQ6JZ4IevcxSs
157,6HIE84LzpDuNeQqF7ymZj8
158,16BGhwv8wYXkv2mMJF7ryv
159,7fRruZ12gXGwBs0zXQ6e5V
160,7hav1MHURQf5SAoPk0egqh
161,6DNTJAvdyDwkmiPm2Wl8At
162,7HwcH5CiJzuUzspuOqOJQa
163,2Colaaxtnx0ybCl4ga39sF
164,7sjMS672QIyAyjFbvkxYI4
165,08mG3Y1vljYA6bvDt4Wqkj
166,5WptmsWwi6FEsTNxN1gUh1
167,5wbrX8xNwkrNdXf6lBWvP0
168,17na7DhhBLsajSS7Vb38Fe
169,4f8sVLv32ofTFECcFkVBLh
170,1QsXOnBUiREtGixFfdLTOf
171,4hQ6UGyWQIGJmHSo0J88JW
172,0gh07SoJO8xxnQFUllJoP3
173,3aGibUHhQyBsyumYHylw0K
174,7y9iMe8SOB6z3NoHE2OfXl
175,0qeKzbUsW0V4ZWRJrHNiD3
176,5ZIZgRrrDj60O0F5oA9bVz
177,4II6CiYRsyuERn0KvUJoTG
178,7x7QlOg9xTzRHkSW5mf1HY
179,0TiUwSybDflJu4Qe2AUoGD
180,3GOjD8hwXOxbTF3apTqSqX
181,5W3UniuRMkHHIpaiQo1hAW
182,2RSHsoi04658QL5xgQVov3
183,49C9C4BPp1zhxcx0guVBwE
184,0ytT1i1eF1xK1C7N17Yk0a
185,0ab55KZBLFrp38Ms7zomRD
186,0LwbO2KIQw1uR2FCqwaKAu
187,6q0pKJSEDLHRXm6bnqH838
188,2IMHclC5w0mzEXRqN9ohmL
189,6pVSAHKEKOWxDcfr8haIGe
190,4ybyq1pLxA7PnbbCp6sNu7
191,5dmPNuHmRRJuHmJTDa7NuJ
192,7jxZ72wo62Ro45fw6HhaXb
193,2fQrGHiQOvpL9UgPvtYy6G
194,4PZNAlmwxplBzhWiuial9D
195,4IM1V7mJvYJSrDQIJnQl5S
196,58Qol5xzalwqF912GE9vQv
197,4i5vF7isqghzmpw6AiWuPn
198,2U5cq89GCnsR1yixKkC8d5
199,5kxddRG1RZaZROadk7iC4D
200,0dIoGTQXDh1wVnhIiSyYEa
201,5x823Kkxfwzs8d6mLgGk6y
202,2Q14mjJgogW1nMzMkDj7le
203,0ritgEzDOsxbd2IfYX96S9
204,3aC9IY1oAAb0WeFeYebriD
205,0D16w74K6sjyE1gsLE1OTZ
206,3FQCJI2t5LTbsRPfYVBSVB
207,51Fjme0JiitpyXKuyQiCDo
208,4N1r0Iiy853aVbYmSXvYli
209,5gfK6bZFaApxdSHsHXrwPD
210,2KklXplRtxMsBYo474Es0w
211,34nT7RkrF1bimYlQUFEpkq
212,2i4QjrONcohOCRl6450mke
213,2npJP0YTkykkqjezhA1g8f
